Nume_problema,Cunostinte_necesare
1133-stampile,Descompunerea numerelor în cifre zecimale; tablouri de frecvență pentru cifre; numărarea cifrelor distincte; selecția repetată a maximului pentru ordonare după frecvență; parcurgeri liniare și analiză de complexitate O(total_cifre).
1134-turneu,Numărare pe frecvențe într-un tablou; determinarea parității aparițiilor (impar/pereche); găsirea valorii maxime și a indicilor corespunzători; numărarea elementelor cu frecvență zero; procesare liniară.
547-balon,Actualizări pe submatrici cu tablou de diferențe 2D și prefix-sum 2D; tratarea marginilor (clamp pe borduri); aritmetică modulară și împărțire cu rest pentru praguri k; numărare pe niveluri (histograme); complexitate O(n·m + p).
548-magictrick,Algoritmul lui Euclid pentru CMMDC; prelucrare pe divizori prin „sită” (iterație pe multipli) pentru a agrega frecvențe și sume; optimizare cu condiția cnt≥2; tehnici de numere întregi mari (long long) și analiză de complexitate O(V log V).
549-puteri3,Reprezentarea numerelor mari în vector de cifre și înmulțire cu transport (precalcul 3^i); determinarea celei mai mari puteri a lui 3 sub n; descompunerea în biți și selecția puterilor lui 3 corespunzătoare bitilor 1; afișare big-int.
1173-numar,Simulare pe șir de cifre cu deplasare circulară; indexare modulară (wrap-around); folosirea unui tablou de vizitare pentru detectarea revenirii; test de paritate al cifrei pentru direcția pașilor; condiție de oprire când toate pozițiile au fost atinse.
1174-reorganizare,Despachetarea numerelor în cifre zecimale și construirea unui șir; calcul cu puteri ale lui 10 pentru numărul de cifre; utilizarea numerelor triunghiulare n(n+1)/2 pentru indexare; acces pe poziții în tablouri; complexitate liniară în lungimea șirului construit.
1151-mititelu-gates,Sortare crescătoare și selecție greedy a maximului repetat până la acoperirea unei sume-țintă; utilizarea unei structuri tip vector/stivă pentru extragerea elementului maxim; analiză de complexitate O(n log n).
1152-cod-secret,Codare/decodare prin transpunere într-o matrice 5-coloane; parcurgere pe rânduri la codare și pe coloane la decodare; maparea spațiilor la '.' și invers; manipulare de șiruri și tablou 2D fix.
1172-ora-de-sport,Reducere iterativă a unui șir binar prin compararea vecinilor (operație echivalentă cu XOR); numărarea aparițiilor de 1 pe toate nivelurile; simulare cu complexitate O(n²).
1219-numar,Parcurgerea secvențelor și gruparea după creștere; calculul restului modulo 9 cu tratarea specială a cazului rest 0; frecvența resturilor obținute; determinarea valorilor lipsă dintr-un set fix; condiții și ramificații pe cazuri.
1220-prieteni,Generarea numerelor prime prin ciurul lui Eratostene; calculul sumei cifrelor și verificarea CMMDC; parcurgere pe multipli pentru marcarea numerelor; stocarea și afișarea condițională; vectori și optimizare prin marcare booleană.
1195-spider,Simulare pe graf complet cu matrice de adiacență; deplasări ciclice controlate de paritate; stocarea muchiilor parcurse; sortare descrescătoare a muchiilor după cost; afișarea drumului și a ponderilor.
1196-prime-apropiate_rezolvare,Generarea primelor până la limită mare cu ciurul lui Eratostene; căutare binară pentru găsirea celor mai apropiate două numere prime; tratarea cazurilor de egalitate cu criteriu suplimentar; optimizare O(log n) pentru interogări.
1197-palindrom,Determinarea cifrei centrale pentru palindrom pe baza frecvențelor; construire jumătate stângă a palindromului și oglindirea ei; manipulare de tablouri și bucle pentru afișare; noțiuni de combinatorică pe multimi de cifre.
1245-tzigla,Testarea divizibilității și condițiilor pe numere întregi; parcurgere în interval cu verificări pe factori comuni și diferențe; utilizarea funcției min pentru limitarea domeniului.
1267-cifru,Prelucrare matriceală pe straturi concentrice; calculul sumelor pe cele patru laturi și alegerea maximului; stocarea direcției optime; rotații ale submatricilor în funcție de direcția aleasă; reconstrucția finală a matricei.
1221-robinson_rezolvare,Generarea tabelului pe baza sumei vecinilor modulo 1000; determinarea direcției de deplasare pe baza restului modulo 4; simulare a mișcărilor cu oprire la revenirea pe o poziție; memorarea pozițiilor vizitate.
1243-roboti,Simulare pas cu pas a mișcării pe o grilă cu coliziuni; inversarea direcției la margine; rezolvarea conflictelor prin eliminarea roboților care ajung în aceeași celulă; utilizarea de structuri bidimensionale pentru poziții și contorizare.
1244-suma,Determinarea celei mai mari lungimi de progresie aritmetică consecutivă cu sumă egală cu numărul dat; parcurgere pe interval și compararea valorilor maxime; numărare elemente ce ating maximul.
1291-creioane,Parcurgere pe lanțuri definite de indici (tip listă înlănțuită); determinarea lungimii maxime a traseului până la capăt; utilizarea accesului indirect prin indici stocați în vector; comparare și memorare a valorii maxime.
1292-melci,Simulare de deplasare circulară a două entități pe un traseu cu lungime determinată; actualizare poziții în funcție de starea de blocaj (timpi de așteptare); verificarea condițiilor pentru schimbarea direcției sau vitezei.
1293-tablou,Prelucrarea unei matrice și determinarea valorii maxime pe linii; conversia numerelor dintr-o linie într-o bază personalizată; eliminarea rândurilor și coloanelor pe baza unei condiții de paritate; manipulare dinamică a dimensiunilor matricei.
1268-oua,Simulare de mișcare pe grilă cu colectare de resurse; schimbarea direcției la întâlnirea unei resurse; eliminarea entităților când ies din grilă; contorizarea resurselor colectate și determinarea valorii maxime obținute.
1269-turn,Eliminarea secvențelor consecutive de lungime cel puțin k; parcurgere repetată până la stabilitate; modificare dinamică a vectorului cu ștergeri multiple; simulare de tip „collapse” din jocuri puzzle.
1363-joc,Simulare a deplasării simultane a două puncte pe un cerc numerotat; controlul mișcării cu increment și decrement ciclic; detectarea coliziunilor și a pozițiilor vizitate; numărarea elementelor neatinse.
1364-talent,Verificarea proprietății de palindrom pe baza frecvenței cifrelor; determinarea cifrei distincte maxime; numărarea elementelor care îndeplinesc criteriul; actualizarea selecției după reguli de prioritate.
1365-xy,Simulare plasare de simboluri pe o grilă; marcarea celulelor conform tiparului X sau Y; calculul celui mai mare dreptunghi complet acoperit; numărarea celulelor libere; folosirea sumei parțiale 2D pentru verificare rapidă.
1386-cartier,Descompunerea numărului în factori pentru determinarea dimensiunilor unui dreptunghi; găsirea înălțimii maxime și numărul aparițiilor; calculul sumei laturilor; determinarea lungimii maxime a unei secvențe cu divizor comun >1.
1315-alarma,Calculul distanței Manhattan între poziții; verificarea tuturor combinațiilor de ore și minute respectând formatul ceasului; alegerea momentului cu distanța minimă între punctele asociate cifrelor.
1316-nr,Conversie din binar în reprezentare numerică cu reguli specifice; manipulare de cifre și ordonare; generarea unei permutări respectând constrângeri; tratarea cazurilor limită.
1317-tetris,Simulare plasare piese într-o grilă verticală; selecția coloanei după potrivire sau înălțime minimă; eliminarea grupurilor de 3 piese identice consecutive; monitorizarea înălțimii maxime și a spațiilor libere.
1339-control,Determinarea primului și ultimului număr dintr-un interval care au restul dorit la împărțirea la 9; numărarea multiplilor prin formulă aritmetică.
1340-figura,Contorizarea perimetrului total al unui set de celule; scăderea muchiilor comune cu vecini existenți; utilizarea unui tablou boolean pentru marcarea celulelor ocupate.
1341-joc,Numărarea elementelor distincte; determinarea dimensiunii pătratului maxim complet; afișarea elementelor în ordinea frecvenței pentru a umple o matrice pătrată.
1435-tinta,Generarea unei matrice în spirală pe diagonale alternante; calculul sumelor pe cei 8 vecini ai fiecărui element interior; stocarea valorilor unice și afișarea lor sortată.
1457-echer,Calculul numărului de mișcări pentru a acoperi o zonă cu pași pe baza rapoartelor dintre dimensiuni; tratarea cazurilor în funcție de diferența dintre coordonate; generarea secvențelor de pași conform scenariului.
1458-lightbot,Simulare de deplasări și salturi pe o secvență; detectarea întreruperilor și contorizarea porțiunilor valide; determinarea elementului cu frecvență maximă; afișarea pozițiilor specifice pe baza diferențelor dintre pași.
1387-medalion,Umplerea unei matrice în cercuri concentrice cu valori ciclice; calculul sumei maxime pe linii; aplicarea unei formule matematice pentru a determina o valoare finală pe baza parametrului p.
1388-numar,"Verificarea proprietății de „circularitate” a unui număr; determinarea maximului dintre numerele cu cifre repetate sau, în lipsa acestora, a maximului absolut; ajustarea valorii fiecărui număr până devine circular."
1409-divizori,Generarea numerelor prime cu ciurul lui Eratostene; calculul numărului de divizori ai unui număr; prelucrarea unei ferestre glisante pe cifre; determinarea valorii cu cei mai mulți divizori și a frecvenței maxime.
1410-remi,Prelucrarea unui șir numeric pentru a-l rearanja în funcție de poziția optimă a unei valori speciale („jollyjoker”); compararea a două aranjamente candidate; inserarea valorii și reconstrucția secvenței.
1411-tetris,Simulare plasare de blocuri dreptunghiulare într-o matrice; determinarea înălțimii maxime și a celei mai lungi secvențe consecutive de coloane cu această înălțime; verificări de coliziune la margini.
1433-betisoare,Interpretarea expresiilor formate din simboluri „I” separate prin „+” și „*”; evaluarea expresiei respectând ordinea operațiilor; conversia simbolurilor în valori numerice.
1434-praslea,Completarea unui șir cu valori implicite; determinarea celei mai lungi secvențe de valori identice consecutive; calculul poziției unde suma cumulată depășește o limită dată.
